Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Pennsylvania,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Illinois,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Ohio,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Iowa,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
South Carolina,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Kentucky,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Louisiana,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Maine,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Maryland,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Massachusetts,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Tennessee,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Virginia,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Indiana,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Utah,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Vermont,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Georgia,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
West Virginia,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Hawaii,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Mississippi,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Nebraska,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Arkansas,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Missouri,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Colorado,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Connecticut,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Wyoming,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Delaware,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
New Jersey,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Alabama,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
New Hampshire,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
District of Columbia,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Rhode Island,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Puerto Rico,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Texas,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,46.9,33,54742
Florida,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,62.5,27,31054
New York,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,63.3,29,36772
Arizona,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,91.2,130,154248
North Carolina,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,104.5,78,64747
Wisconsin,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,108,33,28998
New Mexico,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,108.9,110,98677
California,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,119.9,159,104778
Michigan,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,122,49,36439
Idaho,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,124.6,16,11308
Montana,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,126.9,38,35780
Nevada,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,129.2,25,15879
Washington,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,146.3,90,57786
Oregon,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,152.6,49,29259
Oklahoma,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,158.8,286,196592
Alaska,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,170.6,86,59700
Minnesota,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,177.7,54,34652
South Dakota,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,190,52,39288
Kansas,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,202.6,24,14512
North Dakota,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Mortality,236.4,33,21381
