Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Puerto Rico,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,103,5376,3281538
Utah,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,119.7,3460,3249879
Hawaii,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,123.5,2519,1407006
Colorado,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,127.3,8251,5807719
Arizona,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,127.3,12676,7421401
New York,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,128.4,32955,19336776
New Mexico,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,129.4,3649,2106319
California,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,130.2,59778,39368078
New Jersey,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,133.2,15576,8882371
Connecticut,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,133.5,6638,3557006
Massachusetts,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,135,12376,6893574
Florida,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,135.5,45800,21733312
Wyoming,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,136.3,1029,582328
Idaho,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,136.6,3004,1826913
District of Columbia,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,138.4,984,712816
Minnesota,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,138.6,9944,5657342
Washington,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,138.7,12796,7693612
North Dakota,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,139.2,1308,765309
Texas,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,139.9,42142,29360759
Montana,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,141.2,2138,1080577
Rhode Island,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,141.3,2076,1057125
Maryland,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,142.3,10799,6055802
Nevada,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,144.4,5450,3138259
New Hampshire,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,145.1,2826,1366275
Oregon,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,145.6,8283,4241507
Alaska,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,145.7,1043,731158
Virginia,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,146.4,15498,8590563
Iowa,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,147.3,6304,3163561
Nebraska,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,147.4,3541,1937552
Georgia,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,147.6,17827,10710017
North Carolina,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,148.2,19996,10600823
South Dakota,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,148.4,1730,892717
Wisconsin,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,148.5,11654,5832655
Illinois,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,150.5,24015,12587530
Delaware,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,150.7,2141,986809
Kansas,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,151.4,5538,2913805
Vermont,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,151.5,1400,623347
Pennsylvania,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,152.6,27954,12783254
South Carolina,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,153.4,10786,5218040
Michigan,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,157,21158,9966555
Missouri,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Mortality,157.3,12907,6151548
